section_name	count	maxo_label	status	ncit_id	ncit_label	queries_tried	decision_notes
Testosterone Replacement Therapy	1	hormone modifying therapy	PENDING				
Fertility Treatment	1	surgical procedure	PENDING				
Psychological Support	1	behavioral counseling	PENDING				
Gluten-free diet	1	dietary intervention	PENDING				
Immunosuppressive therapy	1	pharmacotherapy	PENDING				
Endoscopic laser repair (type 1)	1	laser surgical procedure	PENDING				
Endoscopic CO2 laser repair (type 3)	1	laser surgical procedure	PENDING				
Injection laryngoplasty	1	surgical procedure	PENDING				
Surgical repair of laryngeal cleft	1	surgical procedure	PENDING				
Anterior laryngofissure repair with posterior cartilage grafting	1	surgical procedure	PENDING				
Combined open and endoscopic repair for long clefts	1	surgical procedure	PENDING				
Liposomal amphotericin B therapy	1	pharmacotherapy	PENDING				
Multidrug therapy with rifampicin, dapsone, and clofazimine	1	pharmacotherapy	PENDING				
Cancer Surveillance Protocol	1	cancer screening	PENDING				
Symptom-directed Pharmacotherapy	1	pharmacotherapy	PENDING				
Rehabilitation Therapy	1	physical therapy	PENDING				
Antihistamine Therapy	1	pharmacotherapy	PENDING				
Airway Protection (Tracheostomy or Secured Airway)	1	surgical procedure	PENDING				
Broad-Spectrum Intravenous Antibiotics	1	pharmacotherapy	PENDING				
Surgical Drainage and Odontogenic Source Control	1	surgical procedure	PENDING				
Oral Doxycycline	1	pharmacotherapy	PENDING				
Oral Amoxicillin	1	pharmacotherapy	PENDING				
Intravenous Ceftriaxone	1	pharmacotherapy	PENDING				
Mass drug administration with albendazole plus ivermectin or DEC	1	pharmacotherapy	PENDING				
Prophylactic Surgery	1	surgical procedure	PENDING				
Targeted Therapies	1	pharmacotherapy	PENDING				
Avoidance of fasting	1	dietary intervention	PENDING				
Emergency glucose administration	1	pharmacotherapy	PENDING				
L-carnitine supplementation	1	dietary intervention	PENDING				
Capmatinib	1	pharmacotherapy	PENDING				
Tepotinib	1	pharmacotherapy	PENDING				
Nivolumab plus Ipilimumab	1	pharmacotherapy	PENDING				
Pembrolizumab Plus Lenvatinib	1	pharmacotherapy	PENDING				
Pembrolizumab Monotherapy	1	pharmacotherapy	PENDING				
Hysterectomy	1	surgical procedure	PENDING				
Intensive Chemotherapy with ASCT	1	chemotherapy	PENDING				
Bendamustine-Rituximab	1	chemotherapy	PENDING				
Venetoclax	1	pharmacotherapy	PENDING				
BCAA-Restricted Diet	1	dietary intervention	PENDING				
Thiamine Supplementation	1	pharmacotherapy	PENDING				
Intravenous BCAA-Free Solution	1	pharmacotherapy	PENDING				
Acute Crisis Management	1	pharmacotherapy	PENDING				
Phenylbutyrate	1	pharmacotherapy	PENDING				
Angiotensin Receptor Blockers	1	pharmacotherapy	PENDING				
Aortic Surgery	1	surgical procedure	PENDING				
Orthopedic Interventions	1	surgical procedure	PENDING				
Vision Correction	1	surgical procedure	PENDING				
Surgical Resection for Symptomatic Cases	1	surgical procedure	PENDING				
Incidental Diverticulectomy with Stapling Devices	1	surgical procedure	PENDING				
Occipital encephalocele repair	1	surgical repair	PENDING				
Cerebrospinal fluid shunting for hydrocephalus	1	surgical repair	PENDING				
Cranial decompression	1	surgical repair	PENDING				
Mutation-specific exon skipping therapy (proposed)	1	gene therapy	PENDING				
Vandetanib/Cabozantinib	1	pharmacotherapy	PENDING				
SHH Pathway Inhibitors (Vismodegib/Sonidegib)	1	pharmacotherapy	PENDING				
Intralesional corticosteroid injection	1	corticosteroid agent therapy	PENDING				
Systemic corticosteroids	1	corticosteroid agent therapy	PENDING				
Anti-TNF therapy (infliximab)	1	pharmacotherapy	PENDING				
Anti-IL-12/23 therapy (ustekinumab)	1	pharmacotherapy	PENDING				
Low-Sodium Diet	1	dietary intervention	PENDING				
Diuretic Therapy	1	pharmacotherapy	PENDING				
Betahistine	1	pharmacotherapy	PENDING				
Intratympanic Injections	1	pharmacotherapy	PENDING				
Vestibular Rehabilitation	1	physical therapy	PENDING				
Endolymphatic Sac Surgery	1	surgical procedure	PENDING				
Avelumab	1	pharmacotherapy	PENDING				
Antiviral Therapy	1	antiviral agent therapy	PENDING				
Cidofovir	1	antiviral agent therapy	PENDING				
Brincidofovir	1	antiviral agent therapy	PENDING				
Isolation and Infection Control	1	behavioral counseling	PENDING				
Prophylactic Thyroidectomy	1	surgical procedure	PENDING				
RET Kinase Inhibitors	1	pharmacotherapy	PENDING				
Disease-Modifying Therapies (DMTs)	1	pharmacotherapy	PENDING				
Symptomatic Treatments	1	supportive care	PENDING				
Physical Therapy and Rehabilitation	1	physical therapy	PENDING				
Pacing	1	supportive care	PENDING				
Symptomatic Treatment	1	supportive care	PENDING				
Low-Dose Naltrexone	1	pharmacotherapy	PENDING				
Acetylcholinesterase Inhibitors	1	acetylcholinesterase inhibitor therapy	PENDING				
Thymectomy	1	thymectomy	PENDING				
Mycophenolate Mofetil	1	immune suppressant agent therapy	PENDING				
Combination Targeted Therapy	1	pharmacotherapy	PENDING				
Larotrectinib	1	pharmacotherapy	PENDING				
Sodium Oxybate	1	pharmacotherapy	PENDING				
Modafinil	1	pharmacotherapy	PENDING				
Pitolisant	1	pharmacotherapy	PENDING				
Solriamfetol	1	pharmacotherapy	PENDING				
Amphetamines	1	pharmacotherapy	PENDING				
Antidepressants	1	pharmacotherapy	PENDING				
Scheduled Naps	1	behavioral counseling	PENDING				
Intensity-Modulated Radiation Therapy	1	radiation therapy	PENDING				
Concurrent Chemoradiation	1	radiation therapy	PENDING				
Induction Chemotherapy	1	chemotherapy	PENDING				
Renal Replacement Therapy	1	renal dialysis	PENDING				
Risk-Adapted Chemotherapy	1	chemotherapy	PENDING				
Autologous Stem Cell Transplant	1	hematopoietic stem cell transplantation	PENDING				
Anti-GD2 Immunotherapy	1	immunotherapy procedure	PENDING				
Isotretinoin (Retinoic Acid)	1	pharmacotherapy	PENDING				
Acute Attack Treatment - Corticosteroids	1	pharmacotherapy	PENDING				
Cardiac Surgical Intervention	1	surgical procedure	PENDING				
Early Intervention Services	1	early intervention services	PENDING				
Bariatric Surgery	1	surgical procedure	PENDING				
Behavioral Therapy	1	behavioral counseling	PENDING				
Orlistat	1	pharmacotherapy	PENDING				
Ivermectin therapy	1	pharmacotherapy	PENDING				
Fracture Management	1	surgical procedure	PENDING				
Rodding Surgery	1	surgical procedure	PENDING				
Spinal Fusion	1	surgical procedure	PENDING				
Interosseous Membrane Excision	1	surgical procedure	PENDING				
Bisphosphonates	1	bisphosphonate agent therapy	PENDING				
Denosumab	1	pharmacotherapy	PENDING				
Teriparatide	1	pharmacotherapy	PENDING				
Romosozumab	1	pharmacotherapy	PENDING				
Calcium Supplementation	1	calcium supplementation	PENDING				
Vitamin D Supplementation	1	vitamin D supplementation	NEAR_MATCH	NCIT:C210732	Vitamin Supplement	search:Vitamin D Supplementation;search:Vitamin Supplement;search:Vitamin D	No direct supplementation action for vitamin D; mapped to vitamin supplement class.
Weight-Bearing Exercise	1	physical therapy	PENDING				
Endocrine Therapy Plus CDK4/6 Inhibitors	1	pharmacotherapy	PENDING				
Capivasertib	1	pharmacotherapy	PENDING				
Levodopa/Carbidopa	1	pharmacotherapy	PENDING				
Dopamine Agonists	1	pharmacotherapy	PENDING				
MAO-B Inhibitors	1	pharmacotherapy	PENDING				
COMT Inhibitors	1	pharmacotherapy	PENDING				
Deep Brain Stimulation	1	surgical procedure	PENDING				
Immunosuppressive Agents	1	pharmacotherapy	PENDING				
Biological Therapy	1	pharmacotherapy	PENDING				
Pars Plana Vitrectomy	1	surgical procedure	PENDING				
Endoscopic polypectomy	1	endoscopic procedure	PENDING				
Surgical resection	1	surgical procedure	MATCH	NCIT:C154430	Definitive Surgical Resection	propagated_case_variant_from:Surgical Resection	Case/format variant of an already manually curated label.
Genetic counseling	1	genetic counseling	MATCH	NCIT:C15240	Genetic Counseling	propagated_case_variant_from:Genetic Counseling	Case/format variant of an already manually curated label.
Airway Management	1	surgical procedure	PENDING				
Tyrosine Kinase Inhibitor plus Chemotherapy	1	pharmacotherapy	PENDING				
Blinatumomab	1	pharmacotherapy	PENDING				
Phenylalanine-Restricted Diet	1	dietary intervention	PENDING				
Sapropterin (Kuvan)	1	pharmacotherapy	PENDING				
Pegvaliase (Palynziq)	1	pharmacotherapy	PENDING				
Large Neutral Amino Acids	1	dietary intervention	PENDING				
Alpha-Adrenergic Blockade	1	pharmacotherapy	PENDING				
MIBG Therapy	1	radiation therapy	PENDING				
Temozolomide	1	chemotherapy	PENDING				
Caregiver Support	1	behavioral counseling	PENDING				
Penicillin injection	1	pharmacotherapy	PENDING				
Albendazole therapy	1	pharmacotherapy	PENDING				
Radical hepatic resection	1	surgical procedure	PENDING				
Tolvaptan	1	pharmacotherapy	PENDING				
Blood Pressure Control	1	pharmacotherapy	PENDING				
Renal Dialysis	1	renal dialysis	MATCH	NCIT:C15221	Dialysis	search:Renal Dialysis;search:Dialysis;info:l~Dialysis	Mapped renal dialysis wording to core Dialysis concept; Hemodialysis (C15248) also returned.
Kidney Transplantation	1	organ transplantation	PENDING				
Therapeutic Phlebotomy	1	therapeutic procedure	PENDING				
Probiotic Therapy	1	pharmacotherapy	PENDING				
Anti-inflammatory Medications	1	anti-inflammatory agent therapy	PENDING				
Nasal Steroids	1	pharmacotherapy	PENDING				
Fedratinib	1	pharmacotherapy	PENDING				
Stem Cell Transplant	1	chemotherapy	PENDING				
AKT inhibitor (miransertib/ARQ 092)	1	pharmacotherapy	PENDING				
Surgical intervention	1	surgical procedure	PENDING				
Targeted Cytokine Biologic Therapy	1	pharmacotherapy	PENDING				
Phosphodiesterase-5 Inhibitors	1	pharmacotherapy	PENDING				
Endothelin Receptor Antagonists	1	pharmacotherapy	PENDING				
Prostacyclin Analogues	1	pharmacotherapy	PENDING				
Cabozantinib	1	pharmacotherapy	PENDING				
Rabies post-exposure vaccination	1	vaccination	PENDING				
Rabies immunoglobulin administration	1	pharmacotherapy	PENDING				
Controlled refeeding and caloric advancement	1	nutrition intervention	PENDING				
Electrolyte supplementation and monitoring	1	nutritional supplementation	PENDING				
Thiamine (vitamin B1) supplementation	1	vitamin B1 supplementation	PENDING				
Micronutrient supplementation during refeeding	1	micronutrient supplementation	PENDING				
Radical Nephrectomy	1	surgical procedure	PENDING				
Targeted Systemic Therapy	1	pharmacotherapy	PENDING				
Focal Therapy (Laser/Cryotherapy)	1	laser ablation therapy	PENDING				
External Beam Radiation	1	radiation therapy	PENDING				
Botulinum Toxin Injection	1	botulinum toxin type A therapy	PENDING				
Non-Steroidal Anti-Inflammatory Drugs (NSAIDs)	1	pharmacotherapy	PENDING				
Disease-Modifying Antirheumatic Drugs (DMARDs)	1	pharmacotherapy	PENDING				
Glucocorticoids	1	pharmacotherapy	PENDING				
Immunoglobulin Replacement Therapy	1	pharmacotherapy	PENDING				
Antibiotic Prophylaxis	1	pharmacotherapy	PENDING				
Supportive Educational Programs	1	behavioral counseling	PENDING				
Methotrexate	1	pharmacotherapy	PENDING				
Anti-TNF Therapy	1	pharmacotherapy	PENDING				
Permethrin cream or ivermectin	1	pharmacotherapy	PENDING				
Praziquantel mass drug administration	1	pharmacotherapy	PENDING				
Cognitive Behavioral Therapy (CBT)	1	behavioral counseling	PENDING				
Social Skills Training	1	behavioral counseling	PENDING				
Vocational Rehabilitation	1	occupational therapy	PENDING				
Surgical repair	1	surgical procedure	PENDING				
Catheter-based intervention	1	catheterization	PENDING				
Conservative management	1	supportive care	PENDING				
Vitamin C Supplementation	1	vitamin C supplementation	NEAR_MATCH	NCIT:C210732	Vitamin Supplement	search:Vitamin C Supplementation;search:Ascorbic Acid;search:Vitamin Supplement	No direct supplementation action; mapped to vitamin supplement class (ascorbic acid also available as substance C285).
Surgical Canal Plugging	1	surgical procedure	PENDING				
Surgical Resurfacing	1	surgical procedure	PENDING				
Coenzyme Q10 supplementation	1	coenzyme Q10 supplementation	PENDING				
Carnitine supplementation	1	carnitine supplementation	PENDING				
B vitamin supplementation	1	B vitamin supplementation	PENDING				
ACE inhibitor therapy	1	ACE inhibitor therapy	PENDING				
Cardiac transplantation	1	cardiac transplantation	PENDING				
Diuretic therapy	1	diuretic agent therapy	PENDING				
Levosimendan infusion	1	pharmacotherapy	PENDING				
Fluid and electrolyte replacement	1	supportive care	PENDING				
Functional Endoscopic Sinus Surgery	1	nasal endoscopy	PENDING				
Orbital Floor Reconstruction	1	surgical plastic reconstruction of face	PENDING				
Platinum-Etoposide Chemotherapy	1	chemotherapy	PENDING				
Atezolizumab (with Chemotherapy)	1	pharmacotherapy	PENDING				
Durvalumab (with Chemotherapy)	1	pharmacotherapy	PENDING				
Thoracic Radiation	1	radiation therapy	PENDING				
Prophylactic Cranial Irradiation	1	radiation therapy	PENDING				
Lurbinectedin	1	pharmacotherapy	PENDING				
Topotecan	1	pharmacotherapy	PENDING				
Prokinetic agents	1	pharmacotherapy	PENDING				
Antivenom administration	1	pharmacotherapy	PENDING				
Albendazole or mebendazole therapy	1	pharmacotherapy	PENDING				
Prophylactic Retinal Treatment	1	surgical procedure	PENDING				
Joint Protection	1	physical therapy	PENDING				
Cleft Repair	1	surgical procedure	PENDING				
Baclofen	1	pharmacotherapy	PENDING				
Intravenous Immunoglobulin	1	pharmacotherapy	PENDING				
Type I Interferon Receptor Antagonist	1	pharmacotherapy	PENDING				
B Cell Depletion Therapy	1	pharmacotherapy	PENDING				
BAFF Pathway Inhibition	1	pharmacotherapy	PENDING				
Palatal cleft repair	1	surgical procedure	PENDING				
Orthopedic surgery	1	surgical procedure	PENDING				
Multidisciplinary supportive care	1	supportive care	PENDING				
Antiparasitic therapy	1	pharmacotherapy	PENDING				
Substrate Reduction Therapy	1	pharmacotherapy	PENDING				
Tetanus Immunoglobulin (TIG)	1	pharmacotherapy	PENDING				
Wound Debridement	1	surgical procedure	PENDING				
Muscle Relaxants and Sedation	1	pharmacotherapy	PENDING				
Active Immunization	1	vaccination	PENDING				
Antibiotic mass drug administration (SAFE strategy)	1	pharmacotherapy	PENDING				
None Required	1	supportive care	PENDING				
Plasma Exchange	1		PENDING				
Loperamide	1	pharmacotherapy	PENDING				
Fluoroquinolone antibiotics	1	pharmacotherapy	PENDING				
Rifaximin	1	pharmacotherapy	PENDING				
Bismuth subsalicylate	1	pharmacotherapy	PENDING				
Probiotic prophylaxis	1	pharmacotherapy	PENDING				
Education on safe food and water practices	1	supportive care	PENDING				
Rifaximin prophylaxis	1	pharmacotherapy	PENDING				
Pembrolizumab Plus Chemotherapy	1	pharmacotherapy	PENDING				
Sacituzumab Govitecan	1	pharmacotherapy	PENDING				
Isoniazid	1	pharmacotherapy	PENDING				
Rifampicin	1	pharmacotherapy	PENDING				
Ethambutol	1	pharmacotherapy	PENDING				
Directly Observed Therapy (DOT)	1	pharmacotherapy	PENDING				
Latent TB Treatment	1	pharmacotherapy	PENDING				
Host-Directed Therapy	1	supportive care	PENDING				
SGLT2 Inhibitors	1	pharmacotherapy	PENDING				
Tebentafusp	1	pharmacotherapy	PENDING				
Plaque Brachytherapy	1	radiation therapy	PENDING				
Lamotrigine	1	pharmacotherapy	PENDING				
Topical Corticosteroid	1	pharmacotherapy	PENDING				
JAK Inhibitor Therapy	1	pharmacotherapy	PENDING				
Phototherapy	1	radiation therapy	PENDING				
Skin Graft	1	surgical procedure	PENDING				
Melanocyte Transplantation	1	organ transplantation	PENDING				
Monobenzone Cream	1	pharmacotherapy	PENDING				
Nephron-Sparing Surgery	1	surgical procedure	PENDING				
Ceftriaxone induction followed by trimethoprim/sulfamethoxazole	1	pharmacotherapy	PENDING				
Doxycycline plus hydroxychloroquine regimen	1	pharmacotherapy	PENDING				
D-Penicillamine	1	copper chelator agent therapy	PENDING				
Trientine	1	copper chelator agent therapy	PENDING				
Zinc Acetate	1	pharmacotherapy	PENDING				
Low Copper Diet	1	dietary intervention	PENDING				
Tetrathiomolybdate	1	copper chelator agent therapy	PENDING				
Nonsteroidal anti-inflammatory drugs	1	NSAID therapy	PENDING				
Dapsone	1	pharmacotherapy	PENDING				
Seizure Management with Levetiracetam	1	pharmacotherapy	PENDING				
Seizure Management with Valproic Acid	1	pharmacotherapy	PENDING				
Early Aggressive Seizure Management	1	pharmacotherapy	PENDING				
Azithromycin therapy	1	pharmacotherapy	PENDING				
Cataract surgery	1	surgical procedure	PENDING				
