cosine	suggested_conforms_to	node	nearest_labelled_node
0.771	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Osteogenesis_Imperfecta_Type_VII::Osteoblast Dysfunction and Impaired Bone Formation	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.771	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	Marfan_Syndrome::Mitochondrial Dysfunction	COX15-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.771	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Autosomal_Recessive_Ataxia_Due_to_Ubiquinone_Deficiency::Systemic Mitochondrial Energy Limitation	Huntington_Disease::Mitochondrial Dysfunction
0.771	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	Boucher-Neuhauser_Syndrome::NTE-activity-dependent neurodegeneration of vulnerable tissues	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.771	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Primrose_Syndrome::ZBTB20 Transcriptional Repressor Dysfunction	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.771	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Kummell_Disease::Pro-inflammatory osteoclastogenic signaling	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.771	ciliopathy_dysfunction#Basal Body and Transition Zone Dysfunction	Joubert_syndrome::Abnormal cilium structure and length	Meckel_Syndrome::Basal body localization without proper ciliogenesis
0.771	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	Methylmalonic_Acidemia::Mitochondrial energy metabolism dysfunction	COX10-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.770	intestinal_barrier_dysfunction#Paracellular Barrier Leak	Collagenous_Sprue::Epithelial barrier dysfunction and tight junction disruption	Chemotherapy_Induced_Diarrhea::Paracellular barrier leak and mucosal break formation
0.770	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Hypertrophic_Cardiomyopathy::Myocyte Disarray	Brugada_Syndrome::Current-Load Mismatch at RVOT Substrate
0.770	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	GM3_Synthase_Deficiency::Neural cell signaling vulnerability	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.770	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	RPGR-Related_Retinopathy::RPGR dysfunction at the photoreceptor connecting cilium	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.770	immune_checkpoint_blockade#Adaptive Immune Resistance	Pancreatic_Ductal_Adenocarcinoma::Immune Evasion	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.770	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Omodysplasia::GPC6 loss of function and impaired Hedgehog signaling	Achondroplasia::FGFR3 gain-of-function signaling
0.770	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Autosomal_Dominant_Cerebellar_Ataxia_Type_I::Transcriptional Dysregulation	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.770	immune_checkpoint_blockade#Adaptive Immune Resistance	Prostate_Adenocarcinoma::Immune-Suppressive Tumor Microenvironment	Angiosarcoma::Adaptive Immune Resistance
0.770	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Osteoarthritis::Chondrocyte Senescence	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.770	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Glucose-6-Phosphate_Dehydrogenase_G6PD_Deficiency::Decreased G6PD Enzyme Activity	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.770	fibrotic_response#Mesenchymal Cell Activation	Costello_Syndrome::Impaired fibroblast elastogenesis	Idiopathic_Pulmonary_Fibrosis::Fibroblast activation and myofibroblast differentiation
0.769	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Osteopetrosis::Defective osteoclast differentiation (osteoclast-poor forms)	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.769	nephrolithiasis_crystal_nucleation#Urinary Supersaturation	Hypotonia-Cystinuria_Syndrome::Cystine nephrolithiasis	Cystinuria::Urinary Cystine Supersaturation
0.769	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Coronary_Arterial_Fistulas::Abnormal coronary artery-to-chamber or vessel shunt	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.769	fibrotic_response#Mesenchymal Cell Activation	Labyrinthitis::Fibroblast proliferation in the labyrinth	Idiopathic_Pulmonary_Fibrosis::Fibroblast activation and myofibroblast differentiation
0.769	photoreceptor_degeneration#Rod Photoreceptor Apoptosis	North_Carolina_Macular_Dystrophy::Congenital Macular Developmental Disruption	CRB1_Retinal_Dystrophies::Progressive photoreceptor degeneration and visual loss
0.769	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Drug_or_Toxin-Induced_Pulmonary_Arterial_Hypertension::Pulmonary artery smooth muscle proliferation	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.769	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Atrial_Standstill::EMD-Associated Progressive Atrial Myopathy	Timothy_Syndrome::Early afterdepolarizations and arrhythmogenic substrate
0.768	glaucoma_optic_neuropathy#Retinal Ganglion Cell Apoptosis	Spaceflight_Associated_Neuro-Ocular_Syndrome::Optic Nerve Sheath Distension	Glaucoma::Retinal Ganglion Cell Death
0.768	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Progressive_Supranuclear_Palsy::Neuronal Dysfunction and Loss	Machado_Joseph_Disease::Multifocal neurodegeneration
0.767	polyglutamine_expansion_proteotoxicity#Proteostasis Network Overload	Krabbe_Disease::Proteostasis Failure	Dentatorubral-Pallidoluysian_Atrophy::Proteostasis Failure
0.767	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Stevens-Johnson_Syndrome::IL-15 Cytokine Amplification	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.767	cardiac_ion_channel_repolarization#Syncope and Sudden Cardiac Death	Atrial_Standstill::Atrial Electrical Silence	Torsade_De_Pointes_Syndrome_With_Short_Coupling_Interval::Ventricular fibrillation and cardiac arrest
0.767	fibrotic_response#Mesenchymal Cell Activation	Solitary_Fibrous_Tumor::Fibroblastic Proliferation	IgG4-Related_Disease::Storiform Fibrosis
0.767	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Pancreatic_Adenocarcinoma::Immune Evasion and Metastatic Selection	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.767	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Nonketotic_Hyperglycinemia::NMDA receptor dysregulation and neurotransmission imbalance	Huntington_Disease::Medium Spiny Neuron Degeneration
0.767	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	Hartsfield_Syndrome::Impaired Forebrain Midline Patterning	Crouzon_Syndrome::FGFR2 Gain-of-Function Signaling
0.767	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome::Cerebellar and Brainstem Oculomotor Circuit Dysfunction	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.766	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Progressive_Myoclonus_Epilepsy::Mitochondrial Translation Failure (MERRF)	Huntington_Disease::Mitochondrial Dysfunction
0.766	rtk_grb2_signaling_adaptation#RAS-MAPK and PI3K-AKT Proliferation Output	Endometrial_Endometrioid_Adenocarcinoma::PTEN PI3K Pathway Dysregulation	HER2_Positive_Breast_Cancer::Downstream Oncogenic Signaling
0.766	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Renal_Cell_Carcinoma::Immune Microenvironment and Checkpoint Sensitivity	Endometrial_Endometrioid_Adenocarcinoma::Immune Checkpoint Vulnerability
0.766	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Gaucher_Disease::Neuronal Glycosphingolipid Accumulation	Epilepsy::Neuronal Hyperexcitability
0.765	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Chorea-acanthocytosis::Erythrocyte Lipid and Actin Cytoskeleton Remodeling	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.765	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Ataxia_Telangiectasia::Oxidative stress and microglia-driven cerebellar neurodegeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.765	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Beckwith-Wiedemann_Syndrome::IGF2 Overexpression	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::TGF-beta signaling dysregulation
0.765	immune_checkpoint_blockade#Adaptive Immune Resistance	Coccidioidomycosis::Th1/Th17 cell-mediated adaptive immunity	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.765	immune_checkpoint_blockade#Adaptive Immune Resistance	Common_Variable_Immunodeficiency::Immune Dysregulation and Autoimmunity	Angiosarcoma::Adaptive Immune Resistance
0.765	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	FLT3_Mutant_AML::FLT3 Receptor Constitutive Activation	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.765	fibrotic_response#Excessive ECM Deposition	Primary_Hypertrophic_Osteoarthropathy::Connective Tissue Proliferation	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.764	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Myalgic_Encephalomyelitis_Chronic_Fatigue_Syndrome::Mitochondrial Dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.764	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Loeys-Dietz_Syndrome::Noncanonical MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.764	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	AR_Cerebellar_Ataxia-Saccadic_Intrusion_Syndrome::Mitochondrial Dysfunction and Energy Failure	Huntington_Disease::Mitochondrial Dysfunction
0.764	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Hypertrophic_Cardiomyopathy::Mitochondrial Dysfunction	Huntington_Disease::Mitochondrial Dysfunction
0.764	fame_pentanucleotide_repeat_rna_toxicity#Cerebellocortical Circuit Dysfunction	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Prodynorphin Neuropeptide Toxicity in SCA23	Pentanucleotide_Repeat_Familial_Adult_Myoclonus_Epilepsy::Cerebellocortical circuit dysfunction
0.763	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Camurati-Engelmann_Disease::Constitutive TGF-beta 1 Activation	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.763	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	MELAS_Syndrome::Oxidative phosphorylation deficiency	Huntington_Disease::Mitochondrial Dysfunction
0.763	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	Neuroblastoma::ALK Signaling Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.763	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Hemophagocytic_Lymphohistiocytosis::Impaired Lymphocyte Cytotoxicity	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.763	somatotroph_camp_pka_overactivation#Increased somatotroph cAMP availability	AIP-related_pituitary_adenoma_predisposition::Disrupted AIP-dependent PDE4A cAMP-phosphodiesterase module	AIP-related_pituitary_adenoma_predisposition::Reduced PDE4A-mediated cAMP catabolism
0.762	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	Lesch-Nyhan_Syndrome::Mitochondrial Energy Metabolism Disruption	COX15-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.762	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	ATR-X_Syndrome::ATRX Chromatin Remodeler Loss of Function	Huntington_Disease::Transcriptional Dysregulation
0.762	fgfr_gain_of_function_skeletal_dysplasia#Cranial Suture Osteogenic Acceleration	Semicircular_Canal_Dehiscence_Syndrome::Otic Capsule Bone Biology	Pfeiffer_Syndrome::Accelerated cranial suture osteogenesis
0.762	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Left_Ventricular_Noncompaction::Incomplete ventricular compaction and excessive trabeculation	Brugada_Syndrome::Current-Load Mismatch at RVOT Substrate
0.762	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	Clear_Cell_Sarcoma::EWSR1-ATF1 Fusion Oncogene	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.762	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Brachyolmia::Disrupted TGF-beta signaling in ameloblasts	Loeys-Dietz_Syndrome::Paradoxical TGF-beta Signaling
0.761	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Duchenne_Muscular_Dystrophy::Calcium Influx	RYR2_CPVT::RYR2 Gain-of-Function Calcium Leak
0.761	immune_checkpoint_blockade#Adaptive Immune Resistance	Acquired_Immunodeficiency_Syndrome::Immune System Collapse	Endometrial_Carcinoma::Adaptive Immune Resistance
0.761	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Sezary_Syndrome::PLCG1-driven T-cell receptor signaling	Nephronophthisis::Impaired Cell Signaling
0.760	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Metaphyseal_Chondrodysplasia_Schmid_Type::Functional Haploinsufficiency	Thanatophoric_Dysplasia_Type_1::Impaired chondrocyte hypertrophy and differentiation
0.760	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Fontaine_Progeroid_Syndrome::Oxidative stress-sensitive mitochondrial swelling	Huntington_Disease::Mitochondrial Dysfunction
0.760	ciliopathy_dysfunction#Photoreceptor Connecting Cilium Degeneration	Acute_Annular_Outer_Retinopathy::Retinal pigment epithelium disruption and atrophy	Alstrom_Syndrome::Photoreceptor Degeneration
0.760	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Pyruvate_Dehydrogenase_Deficiency::Cerebral energy failure and neurodevelopmental injury	Huntington_Disease::Mitochondrial Dysfunction
0.760	cardiac_ion_channel_repolarization#Ventricular Tachyarrhythmia	PKP2_Cardiomyopathy::Ventricular Arrhythmias	RYR2_CPVT::Triggered Ventricular Arrhythmia
0.760	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	ALG9-congenital_disorder_of_glycosylation::Growth, hepatic, and renal involvement	Jeune_Asphyxiating_Thoracic_Dystrophy::Renal Cystogenesis
0.760	fibrotic_response#Excessive ECM Deposition	Spondyloepiphyseal_Dysplasia_Congenita::Dominant-Negative Collagen Misfolding	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.760	cardiac_ion_channel_repolarization#Arrhythmogenic Substrate and Triggered Activity	Heart_Failure::Myocardial Contractile Dysfunction	Long_QT_Syndrome::Early Afterdepolarizations
0.760	fgfr_gain_of_function_skeletal_dysplasia#Constitutive FGFR Activation	FGFR_Altered_Cholangiocarcinoma::FGFR2 Fusion and Constitutive Activation	Hypochondroplasia::FGFR3 constitutive activation
0.759	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Acute_Motor_and_Sensory_Axonal_Neuropathy::Macrophage Recruitment to Complement Deposition Sites	Gaucher_Disease::Glucocerebroside Accumulation in Macrophages
0.759	nephrotic_podocyte_injury#Glomerular Filtration Barrier Breakdown	Alport_Syndrome::Defective Type IV Collagen Network	Focal_Segmental_Glomerulosclerosis::Glomerular Filtration Barrier Dysfunction
0.759	fibrotic_response#Mesenchymal Cell Activation	Epidermolysis_Bullosa::Secondary Complications	IgG4-Related_Disease::Storiform Fibrosis
0.759	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	NARP_syndrome::Endocrine energy vulnerability	Huntington_Disease::Mitochondrial Dysfunction
0.758	complex_iv_assembly_deficiency#Complex IV Biogenesis Failure	Inherited_Porphyria::Heme Biosynthesis Enzyme Deficiency	COX10-Related_COX_Deficiency::COX10 Loss and Defective Heme A Biosynthesis
0.758	hemolytic_anemia_erythrocyte_destruction#Premature Erythrocyte Destruction	Inherited_Porphyria::Erythroid Uroporphyrin I Accumulation and Hemolysis	Hereditary_Spherocytosis::Splenic Sequestration and Hemolysis
0.758	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Follicular_Lymphoma::Chronic B-Cell Receptor Signaling	Nephronophthisis::Impaired Cell Signaling
0.758	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Autosomal_Dominant_Polycystic_Kidney_Disease::Polycystin complex dosage loss at the renal primary cilium	Alstrom_Syndrome::Kidney Ciliary Dysfunction
0.758	immune_checkpoint_blockade#Adaptive Immune Resistance	Common_Variable_Immunodeficiency::T Cell Dysregulation	BRAF_V600_Mutant_Melanoma::Immune Evasion via PD-L1 Upregulation
0.758	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Spondyloepiphyseal_Dysplasia_Congenita::ER Stress and Unfolded Protein Response in Chondrocytes	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.758	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Renal_Artery_Obstruction::Renal fibromuscular dysplasia arteriopathy	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.758	er_protein_storage_disease#Hepatic Protein Aggregation	Achromatopsia::Unfolded Protein Response Defect (ATF6)	Alpha_1_Antitrypsin_Deficiency::Hepatic Protein Aggregation
0.758	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Spinal_Muscular_Atrophy::SMN-Dependent Neurodevelopmental Disruption	Machado_Joseph_Disease::Multifocal neurodegeneration
0.757	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	CACNA1A_Related_Disorder::Mitochondrial Dysfunction in SCA6 Progression	Huntington_Disease::Mitochondrial Dysfunction
0.757	ciliopathy_dysfunction#Renal Tubular Cystic and Fibrotic Disease	Alport_Syndrome::Tubulointerstitial Fibrosis	Bardet-Biedl_Syndrome::Renal tubulointerstitial injury
0.757	aortopathy_tgfbeta_dysregulation#Aortic Wall ECM or Contractile Apparatus Defect	Ullrich_Congenital_Muscular_Dystrophy::Myofiber connective tissue pathology	Familial_Thoracic_Aortic_Aneurysm_and_Aortic_Dissection::Extracellular matrix structural failure
0.757	fibrotic_response#Mesenchymal Cell Activation	Alpha_1_Antitrypsin_Deficiency::Hepatocyte Injury and Stellate Cell Activation	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Hepatic stellate cell activation and fibrotic remodeling
0.757	fibrotic_response#Mesenchymal Cell Activation	Heart_Failure::Ventricular Remodeling	Sarcoidosis::Fibrotic Tissue Remodeling
0.757	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Leishmaniasis::Intracellular amastigote replication in macrophages	Gaucher_Disease::Glucocerebroside Accumulation in Macrophages
0.757	polyglutamine_expansion_proteotoxicity#Proteostasis Network Overload	Smith-Lemli-Opitz_syndrome::Oxidative Stress-Linked Autophagy	Dentatorubral-Pallidoluysian_Atrophy::Proteostasis Failure
0.756	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Sanfilippo_syndrome::Progressive central neurodegeneration	Machado_Joseph_Disease::Multifocal neurodegeneration
0.756	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Sengers_syndrome::Oxidative phosphorylation deficiency	Huntington_Disease::Mitochondrial Dysfunction
0.756	lysosomal_substrate_accumulation#Lysosomal Substrate Accumulation	Kufor-Rakeb_syndrome::Glucosylsphingosine accumulation	Fabry_Disease::Lysosomal Gb3 and lyso-Gb3 accumulation
0.756	gout_urate_crystal_inflammation#NLRP3 Inflammasome Activation	Leptospirosis::NLRP3 inflammasome complex assembly	Gout::Inflammasome Activation
0.756	fgfr_gain_of_function_skeletal_dysplasia#Sustained MAPK/STAT Signaling	BRAF_V600E_Mutant_NSCLC::Constitutive MAPK Pathway Activation	Thanatophoric_Dysplasia_Type_2::Sustained ERK/MAPK pathway activation
0.756	immune_checkpoint_blockade#Anti-Tumor T Cell Response	Stevens-Johnson_Syndrome::Perforin/Granzyme B-Mediated Cytotoxicity	MSI_High_Colorectal_Cancer::Neoantigen-Driven Immune Response
0.756	aortopathy_tgfbeta_dysregulation#TGF-beta Signaling Dysregulation	Peutz_Jeghers_Syndrome::Stromal TGF-beta signaling defect	Loeys-Dietz_Syndrome::Paradoxical TGF-beta Signaling
0.756	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Neuropsychiatric_SLE::Anti-NMDA-NR2A/B Neuronal Excitotoxicity	Epilepsy::Neuronal Hyperexcitability
0.755	immune_checkpoint_blockade#Adaptive Immune Resistance	Myalgic_Encephalomyelitis_Chronic_Fatigue_Syndrome::T-Cell Immunometabolic Dysfunction	Plasma_Cell_Neoplasm::Immune Evasion and T-Cell Exhaustion
0.755	epilepsy_excitation_inhibition_imbalance#Excitation-Inhibition Imbalance	Spasmodic_Dysphonia::Cortico-Basal Ganglia Motor Network Dysfunction	Epilepsy::Neuronal Hyperexcitability
0.755	cardiac_ion_channel_repolarization#Altered Action Potential and Calcium Handling	Peripartum_Cardiomyopathy::Cardiomyocyte injury and ventricular dysfunction	Timothy_Syndrome::Delayed cardiomyocyte repolarization and ventricular arrhythmia substrate
0.755	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Sandhoff_Disease::Spinal motor neuron apoptosis	Machado_Joseph_Disease::Multifocal neurodegeneration
0.755	cardiomyopathy_maladaptive_remodeling#Ventricular Remodeling	DSP_Cardiomyopathy::Fibrofatty Myocardial Replacement	Dilated_Cardiomyopathy::Myocardial Fibrosis
0.755	immune_checkpoint_blockade#Adaptive Immune Resistance	Metastatic_Prostate_Cancer::Immune Evasion in Metastatic Sites	Laryngeal_Squamous_Cell_Carcinoma::Immune Evasion
0.755	ciliopathy_dysfunction#Impaired Hedgehog Signal Transduction	Brachydactyly_Type_A1::Impaired IHH-Patched1 Receptor Signaling	Short-Rib_Polydactyly_Syndrome::Hedgehog Signaling Disruption in Skeletal Development
0.754	polyglutamine_expansion_proteotoxicity#Selective Neuronal Dysfunction and Loss	Attention_Deficit-Hyperactivity_Disorder::Catecholaminergic Signaling Deficit in Prefrontal Cortex	Machado_Joseph_Disease::Multifocal neurodegeneration
0.754	fibrotic_response#Inflammatory Recruitment and Amplification	Wissler_syndrome::Systemic pro-inflammatory cytokine cascade	Dupuytrens_Contracture::Profibrotic Signaling and Inflammatory Amplification
0.754	fibrotic_response#Excessive ECM Deposition	Dystrophic_Epidermolysis_Bullosa::COL7A1 Mutations and Loss of Type VII Collagen	Hepatic_Fibrinogen_Storage_Disease::Excessive Hepatic ECM Deposition
0.754	fibrotic_response#Mesenchymal Cell Activation	Cardiospondylocarpofacial_Syndrome::Connective tissue dysregulation	Sarcoidosis::Fibrotic Tissue Remodeling
0.753	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Thanatophoric_Dysplasia_Type_2::PLCgamma-STAT1-mediated chondrocyte apoptosis	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.753	cardiac_ion_channel_repolarization#Cardiac Ion-Channel or Calcium-Handling Variant	Zimmermann_Laband_Syndrome::Increased potassium-channel conductance	Long_QT_Syndrome::Reduced Repolarizing Potassium Current
0.753	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Maple_Syrup_Urine_Disease::Cerebral Energy Failure and Oxidative Stress	Huntington_Disease::Mitochondrial Dysfunction
0.753	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Congenital_Total_Pulmonary_Venous_Return_Anomaly::Anomalous Pulmonary Venous Drainage	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.753	cerebellar_purkinje_degeneration#Purkinje Neuron Degeneration	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::PKC Gamma Signaling Dysregulation	Autosomal_Dominant_Cerebellar_Ataxia_Type_III::Purkinje Cell Degeneration and Cerebellar Cortical Atrophy
0.752	fgfr_gain_of_function_skeletal_dysplasia#Growth-Plate Chondrocyte Dysregulation	Schneckenbecken_Dysplasia::Defective Nucleotide-Sugar Transport	Achondroplasia::MAPK-mediated inhibition of chondrocyte differentiation
0.752	nephrotic_podocyte_injury#Glomerular Filtration Barrier Breakdown	Alport_Syndrome::GBM Structural Deterioration	Focal_Segmental_Glomerulosclerosis::Glomerular Filtration Barrier Dysfunction
0.752	immune_checkpoint_blockade#Adaptive Immune Resistance	Tuberculosis::Immune Evasion	Anaplastic_Thyroid_Carcinoma::Adaptive Immune Resistance and Immunosuppressive Microenvironment
0.752	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Congenital_Total_Pulmonary_Venous_Return_Anomaly::Pulmonary Venous Obstruction	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.752	polyglutamine_expansion_proteotoxicity#Mitochondrial and Bioenergetic Dysfunction	Ischemic_Stroke::Excitotoxic and oxidative neuronal injury	Huntington_Disease::Mitochondrial Dysfunction
0.752	rtk_grb2_signaling_adaptation#Activated RTK Phosphotyrosine Docking	MET_Exon_14_Skipping_NSCLC::MET Exon 14 Splice Mutations	HER2_Positive_Breast_Cancer::Constitutive Receptor Activation
0.752	immune_checkpoint_blockade#Adaptive Immune Resistance	Hepatic_Veno-occlusive_Disease-Immunodeficiency_Syndrome::Defective adaptive immune maturation	Endometrial_Carcinoma::Adaptive Immune Resistance
0.752	complex_iv_assembly_deficiency#Impaired Terminal Electron Transfer and ATP Synthesis	Dimethylglycine_Dehydrogenase_Deficiency::DMGDH-linked mitochondrial electron-transfer impairment	COA8-Related_COX_Deficiency::Impaired Terminal Electron Transfer and ATP Synthesis
0.752	polyglutamine_expansion_proteotoxicity#Transcriptional Dysregulation	ER_Positive_Breast_Cancer::Estrogen-Driven Transcription	Dentatorubral-Pallidoluysian_Atrophy::ATN1 Transcriptional Co-repressor Dysregulation
0.752	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	Posterior_Myocardial_Infarction::Atherosclerotic plaque disruption	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
0.752	pulmonary_vascular_remodeling#Obstructive Pulmonary Vascular Remodeling	CADASIL_Type_1::Small Vessel Arteriopathy and Hypoperfusion	Heritable_Pulmonary_Arterial_Hypertension::Occlusive pulmonary vascular remodeling and increased resistance
